CarNumber,Make,Model,Refund,Fines,Year
Y038E877RUS,Ford,Focus,2,15600.0,2015
7844C8197RUS,Ford,Focus,2,100.0,2016
92788M178RUS,Ford,Focus,1,1400.0,2010
7164YM36RUS,Ford,Focus,2,2800.0,1992
H968HY161RUS,Ford,Focus,1,4000.0,2011
O78097197RUS,Ford,Focus,2,17000.0,1990
K338T8197RUS,Ford,Focus,2,24600.0,2003
9398MM199RUS,Volkswagen,Passat,1,1300.0,1985
T018OX197RUS,Toyota,Corolla,2,6000.0,2015
E5878M777RUS,Skoda,Octavia,1,9600.0,2009
8166XX154RUS,Ford,Focus,1,1400.0,2002
96629X178RUS,Ford,Focus,1,800.0,2008
K559KC161RUS,Ford,Focus,1,18800.0,2011
C412X938RUS,Ford,Focus,1,2500.0,1991
K846YE77RUS,Volkswagen,Passat,2,500.0,2012
X4108H125RUS,Ford,Focus,2,1600.0,2011
C477M7161RUS,Ford,Focus,1,8800.0,2005
9523M8178RUS,Skoda,Octavia,1,5000.0,2013
Y8259C197RUS,Ford,Focus,1,500.0,2007
7370C8197RUS,Ford,Focus,2,1000.0,2002
E432XX77RUS,Toyota,Camry,2,9600.0,1983
C419X938RUS,Ford,Focus,1,2400.0,2011
H232YH197RUS,Ford,Focus,2,4000.0,2011
Y163O8161RUS,Ford,Focus,2,13500.0,2008
7066C8197RUS,Volkswagen,Passat,1,2200.0,1989
Y305E877RUS,Ford,Focus,2,8594.5864661654,1995
E432XX77RUS,Toyota,Camry,1,1400.0,2007
8226XX154RUS,Ford,Focus,2,4000.0,2005
9398MM199RUS,Volkswagen,Passat,1,6000.0,1987
73467Y96RUS,Ford,Focus,1,2300.0,2002
Y358O8197RUS,Ford,Focus,1,900.0,2012
7784KT197RUS,Ford,Focus,1,6000.0,1982
9499KX178RUS,Ford,Focus,1,145200.0,1991
9470EX178RUS,Ford,Focus,1,1500.0,2011
X767HY197RUS,Ford,Focus,2,600.0,1986
Y8259C197RUS,Ford,Focus,2,1500.0,1998
Y352O8197RUS,Ford,Focus,2,3400.0,2005
Y7129Y50RUS,Ford,Focus,2,1500.0,1991
Y963O8197RUS,Ford,Focus,2,18900.0,2005
K379HY161RUS,Volkswagen,Golf,1,6700.0,1993
708487163RUS,Ford,Focus,1,800.0,1985
H982HY161RUS,Ford,Focus,1,67200.0,2002
M741T9152RUS,Ford,Focus,2,7500.0,1994
8611T8154RUS,Ford,Focus,2,8800.0,2015
Y232E877RUS,Ford,Focus,2,2000.0,1981
M0269X197RUS,Ford,Focus,2,69600.0,1993
T016OX197RUS,Toyota,Corolla,2,2000.0,1980
Y7649C197RUS,Ford,Focus,2,1000.0,2006
97987H178RUS,Ford,Focus,2,10300.0,2001
8611T8154RUS,Ford,Focus,1,17000.0,1998
Y964O8197RUS,Ford,Focus,1,8594.5864661654,1996
934497178RUS,Skoda,Octavia,2,800.0,2014
O752MX161RUS,Ford,Focus,1,6700.0,1996
H214X836RUS,Ford,Focus,1,300.0,1984
H004MH197RUS,Ford,Focus,1,2000.0,1999
7784KT197RUS,Ford,Focus,2,8594.5864661654,2009
Y275O8197RUS,Ford,Focus,1,16600.0,2000
7831C8197RUS,Ford,Focus,2,1600.0,2018
X763HY197RUS,Ford,Focus,2,180000.0,2015
7361C8197RUS,Ford,Focus,1,500.0,1993
9499KX178RUS,Ford,Focus,1,12000.0,2010
O421OT161RUS,Skoda,Octavia,1,3000.0,2012
H967HY161RUS,Ford,Focus,2,1500.0,1998
O058M7161RUS,Ford,Focus,1,300.0,2017
97998K152RUS,Ford,Focus,2,2500.0,1986
Y255E877RUS,Ford,Focus,1,4200.0,1982
9881HX152RUS,Ford,Focus,2,900.0,1999
Y163O8161RUS,Ford,Focus,2,13000.0,2011
8180XX154RUS,Ford,Focus,1,3000.0,2014
Y7709C197RUS,Ford,Focus,1,1000.0,2008
7361C8197RUS,Ford,Focus,1,3000.0,2008
8611T8154RUS,Ford,Focus,2,10100.0,1992
8603T8154RUS,Ford,Focus,1,600.0,1993
K339T8197RUS,Ford,Focus,2,49200.0,1996
Y163O8161RUS,Ford,Focus,2,1000.0,2015
9020YC197RUS,Skoda,Octavia,2,9000.0,1995
H976HY161RUS,Ford,Focus,2,1900.0,1995
H963HY161RUS,Ford,Focus,1,2200.0,1996
E53677152RUS,Ford,Focus,2,3500.0,2007
E577HE77RUS,Ford,Focus,2,800.0,1992
K846YE77RUS,Volkswagen,Passat,2,800.0,2013
M942OT152RUS,Ford,Focus,1,500.0,1986
Y187O8161RUS,Ford,Focus,2,40600.0,1993
7064C8197RUS,Volkswagen,Passat,1,2300.0,1982
8437XX154RUS,Ford,Focus,2,7100.0,1988
C410X938RUS,Ford,Focus,2,200.0,2003
Y163O8161RUS,Ford,Focus,2,3200.0,2002
E432XX77RUS,Toyota,Camry,1,6500.0,2013
7184TT36RUS,Ford,Focus,1,2100.0,1989
X582HE161RUS,Ford,Focus,2,2000.0,1999
92918M178RUS,Ford,Focus,1,5700.0,2012
H234YH197RUS,Ford,Focus,2,6000.0,1980
E40577152RUS,Ford,Focus,1,8594.5864661654,1984
707987163RUS,Ford,Focus,2,2200.0,1992
K330T8197RUS,Skoda,Octavia,2,8200.0,1988
X786CO96RUS,Ford,Focus,1,8594.5864661654,1994
C477M7161RUS,Ford,Focus,1,2500.0,2000
O21997197RUS,Ford,Focus,1,2000.0,1999
M592CH197RUS,Skoda,Octavia,2,8594.5864661654,2000
9020YC197RUS,Skoda,Octavia,2,145000.0,2012
8182XX154RUS,Ford,Focus,1,200.0,1998
7830C8197RUS,Ford,Focus,2,8594.5864661654,2000
7066C8197RUS,Volkswagen,Passat,2,15000.0,2018
M298CH161RUS,Ford,Focus,2,8594.5864661654,2007
E445TC197RUS,Ford,Focus,1,8594.5864661654,2002
8440XX154RUS,Ford,Focus,1,6200.0,2012
9371CE154RUS,Skoda,Octavia,2,8594.5864661654,1990
9182CE154RUS,Ford,Focus,2,19800.0,1982
83298C154RUS,Ford,Focus,2,8594.5864661654,2004
Y7659C197RUS,Ford,Focus,2,8594.5864661654,2013
C922YE197RUS,Volkswagen,Golf,2,3800.0,2005
7364C8197RUS,Ford,Focus,2,8594.5864661654,1999
M5039X197RUS,Volkswagen,,2,7400.0,2003
8603T8154RUS,Ford,Focus,1,1500.0,2017
92928M178RUS,Ford,Focus,1,8594.5864661654,2016
O672E8197RUS,Skoda,Octavia,2,63300.0,1992
E42277152RUS,Ford,Focus,2,10600.0,1981
C903MC161RUS,Volkswagen,Jetta,1,1600.0,2013
T7318T163RUS,Toyota,Camry,2,12000.0,1994
Y7719C197RUS,Ford,Focus,1,9200.0,1991
T011MY163RUS,Ford,Focus,1,2000.0,2006
H115YO163RUS,Ford,Focus,1,2200.0,1990
73467Y96RUS,Ford,Focus,1,800.0,1988
O134HE197RUS,Ford,Focus,1,8594.5864661654,2008
H968HY161RUS,Ford,Focus,1,2400.0,1985
Y654E8750RUS,Skoda,Octavia,1,500.0,1992
H963HY161RUS,Ford,Focus,2,2800.0,2000
H232YH197RUS,Ford,Focus,2,8600.0,1997
7843C8197RUS,Ford,Focus,2,12300.0,1988
X791O796RUS,Ford,Focus,1,500.0,2008
H958HY161RUS,Ford,Focus,1,1800.0,1991
708587163RUS,Ford,Focus,2,1400.0,1987
Y973O8197RUS,Ford,Focus,2,8594.5864661654,1982
97977H178RUS,Ford,Focus,1,1000.0,1982
H917TC36RUS,Ford,Focus,2,4000.0,2004
X786CO96RUS,Ford,Focus,1,1000.0,1988
Y7709C197RUS,Ford,Focus,1,500.0,1989
8513XX154RUS,Ford,Focus,1,1500.0,1996
T870X7163RUS,Skoda,Octavia,2,2000.0,2000
8818C877RUS,Volkswagen,Passat,1,2500.0,2004
T395OT197RUS,Volkswagen,Touareg,2,8594.5864661654,2001
K327T8197RUS,Volkswagen,Golf,2,20800.0,2016
8311XX154RUS,Ford,Focus,2,8600.0,1990
X423MK197RUS,Ford,Focus,2,14300.0,1996
96429X178RUS,Ford,Focus,1,2600.0,1990
O275O7161RUS,Ford,Focus,2,16600.0,1992
7789KT197RUS,Ford,Focus,2,12600.0,1989
E28877161RUS,Ford,Focus,1,1000.0,1995
T6068M116RUS,Ford,Focus,1,1000.0,2016
9498KX178RUS,Ford,Focus,2,1600.0,1990
99209X178RUS,Skoda,Octavia,1,500.0,1989
T6449O50RUS,Ford,Focus,2,8594.5864661654,2009
9683EC178RUS,Ford,Focus,2,26000.0,1989
Y353O8197RUS,Ford,Focus,2,21800.0,2013
O719MM163RUS,Ford,Focus,2,2300.0,2003
E535MM199RUS,Volkswagen,Touareg,1,500.0,2017
Y352O8197RUS,Ford,Focus,2,103600.0,2013
7788KT197RUS,Ford,Focus,2,12000.0,1981
E807HE77RUS,Ford,Focus,2,4500.0,1992
M516CH161RUS,Ford,Focus,1,1000.0,2018
89587X197RUS,Toyota,Camry,1,8594.5864661654,2003
7781KT197RUS,Ford,Focus,2,600.0,1984
E645TH36RUS,Ford,Focus,1,2400.0,1982
Y302E877RUS,Ford,Focus,1,500.0,2016
M058XE36RUS,Skoda,Octavia,2,8500.0,2007
7830C8197RUS,Ford,Focus,1,5100.0,1999
8166XX154RUS,Ford,Focus,1,2400.0,1984
M589CH197RUS,Volkswagen,,2,7900.0,1990
9408H7178RUS,Skoda,Octavia,1,1000.0,2013
H387TM197RUS,Volkswagen,Passat,2,1600.0,2014
8049HT125RUS,Ford,Focus,1,500.0,2016
9698MO178RUS,Volkswagen,Golf,2,18400.0,1994
8685HE154RUS,Ford,Focus,1,1000.0,1994
7177TT36RUS,Ford,Focus,1,1000.0,2008
O77997197RUS,Ford,Focus,1,22400.0,1998
Y234E877RUS,Ford,Focus,1,8594.5864661654,1983
97987H178RUS,Ford,Focus,2,5000.0,1995
X257HE161RUS,Ford,Focus,2,10000.0,2012
T399KX197RUS,Ford,Focus,2,10200.0,1994
H957HY161RUS,Ford,Focus,1,2000.0,2005
K379HY161RUS,Volkswagen,Golf,1,200.0,1993
T654HT96RUS,Toyota,Corolla,1,4000.0,1999
8439XX154RUS,Ford,Focus,2,4600.0,2004
Y965EE197RUS,Ford,Focus,2,9600.0,2012
X758HY197RUS,Ford,Focus,2,24200.0,1986
M0279X197RUS,Ford,Focus,2,180000.0,2007
H224X836RUS,Ford,Focus,1,3500.0,1997
E6849O154RUS,Volkswagen,Golf,1,200.0,1982
O83797197RUS,Ford,Focus,2,75900.0,2008
9402KK197RUS,Toyota,Camry,2,8594.5864661654,2015
7368C8197RUS,Ford,Focus,1,4400.0,2012
H427YH197RUS,Volkswagen,Passat,2,29700.0,2005
9583EY178RUS,Ford,Focus,2,4300.0,2007
Y038E877RUS,Ford,Focus,2,6500.0,2007
9822H8161RUS,Ford,Focus,1,100.0,2013
7826C8197RUS,Ford,Focus,2,3600.0,2008
E160YX77RUS,Ford,Focus,2,2200.0,2006
82337X197RUS,Ford,Focus,2,2100.0,2007
X757HY197RUS,Ford,Focus,2,6800.0,2004
X765HY197RUS,Ford,Focus,2,13900.0,2000
934497178RUS,Skoda,Octavia,2,1900.0,1992
K2807K154RUS,Ford,Focus,1,1000.0,2017
T8008Y125RUS,Ford,Focus,2,1000.0,2003
X765HY197RUS,Ford,Focus,2,27800.0,1986
Y960EE197RUS,Skoda,Octavia,1,8594.5864661654,1993
7840C8197RUS,Ford,Focus,2,7000.0,2007
K846YE77RUS,Volkswagen,Passat,2,2000.0,1993
E40577152RUS,Ford,Focus,1,500.0,1986
7827C8197RUS,Ford,Focus,1,7500.0,1983
Y655E8750RUS,Skoda,Octavia,2,5200.0,1989
H003MH197RUS,Ford,Focus,2,2900.0,1987
Y7699C197RUS,Ford,Focus,2,15800.0,1988
Y8399C197RUS,Ford,Focus,2,1800.0,1992
9135X938RUS,Ford,Focus,2,4400.0,2000
H385TM197RUS,Volkswagen,Passat,1,9500.0,1984
9428EX178RUS,Ford,Focus,1,1000.0,1982
H837YK197RUS,Audi,,2,4200.0,1996
O83597197RUS,Ford,Focus,2,4000.0,2011
E42577152RUS,Ford,Focus,2,8594.5864661654,1987
E53277152RUS,Ford,Focus,1,1000.0,1999
C476M7161RUS,Ford,Focus,2,1500.0,1989
9943KK197RUS,Ford,Focus,2,29700.0,1990
8165XX154RUS,Ford,Focus,1,4900.0,2002
T476KX197RUS,Ford,Focus,1,1500.0,2010
C422X938RUS,Ford,Focus,2,10500.0,2013
K328T8197RUS,Volkswagen,Golf,1,300.0,1993
9466EX178RUS,Ford,Focus,2,800.0,1999
X256HE161RUS,Ford,Focus,1,2400.0,2001
Y275O8197RUS,Ford,Focus,1,8594.5864661654,1996
8165XX154RUS,Ford,Focus,2,4200.0,1993
E432XX77RUS,Toyota,Camry,2,13000.0,1986
7830C8197RUS,Ford,Focus,2,10200.0,2013
H217X836RUS,Ford,Focus,1,2000.0,2010
Y316E877RUS,Ford,Focus,2,7000.0,2006
934497178RUS,Skoda,Octavia,1,3800.0,1991
O77997197RUS,Ford,Focus,2,8594.5864661654,2008
8601XX154RUS,Skoda,Octavia,1,1300.0,1994
M741T9152RUS,Ford,Focus,2,1000.0,2009
9883HX152RUS,Ford,Focus,2,1000.0,2000
Y6829Y50RUS,Ford,Focus,1,500.0,2005
H004MH197RUS,Ford,Focus,1,39600.0,2002
704987163RUS,Ford,Focus,2,8594.5864661654,2011
E160YX77RUS,Ford,Focus,2,1100.0,1999
E316EH197RUS,Volkswagen,,1,1300.0,1995
X758HY197RUS,Ford,Focus,2,72600.0,1993
O22297197RUS,Ford,Focus,1,500.0,1987
O02597197RUS,Ford,Focus,1,800.0,2017
X015HY197RUS,Toyota,Corolla,2,16000.0,1980
T769OT197RUS,Volkswagen,Golf,2,30900.0,1998
Y778EE197RUS,Volkswagen,Golf,1,24000.0,1985
7829C8197RUS,Ford,Focus,2,1800.0,1995
T272HH163RUS,Ford,Focus,1,1000.0,2011
T018OX197RUS,Toyota,Corolla,2,3400.0,1985
Y255E877RUS,Ford,Focus,1,2500.0,1986
9182CE154RUS,Ford,Focus,2,13200.0,2010
9697MO178RUS,Volkswagen,Golf,1,1000.0,2006
C477M7161RUS,Ford,Focus,2,5000.0,2000
T686EO197RUS,Toyota,Camry,1,500.0,1988
C590EY154RUS,Ford,Focus,2,8594.5864661654,1994
T941CC96RUS,Ford,Focus,1,2000.0,1999
O22397197RUS,Ford,Focus,2,55500.0,1989
X242EC197RUS,Volkswagen,Golf,2,10600.0,2015
T020OX197RUS,Toyota,Corolla,1,34300.0,2012
E33577152RUS,Ford,Focus,2,2000.0,2007
Y973O8197RUS,Ford,Focus,1,34800.0,1983
E773EH197RUS,Ford,Focus,2,6800.0,1999
T6428M116RUS,Ford,Focus,2,6000.0,2018
Y7129Y50RUS,Ford,Focus,2,32000.0,2005
Y418EX197RUS,Volkswagen,Passat,2,900.0,1987
Y7689C197RUS,Ford,Focus,1,27000.0,2009
7066C8197RUS,Volkswagen,Passat,1,3000.0,1989
E52877152RUS,Ford,Focus,1,1500.0,1989
7369C8197RUS,Ford,Focus,2,8594.5864661654,1981
Y166O8161RUS,Ford,Focus,1,100.0,2005
705287163RUS,Ford,Focus,2,2000.0,2013
K559KC161RUS,Ford,Focus,1,100.0,1980
M0299X197RUS,Ford,Focus,2,67200.0,1992
92928M178RUS,Ford,Focus,1,600.0,1995
9822H8161RUS,Ford,Focus,1,200.0,2007
8603T8154RUS,Ford,Focus,1,3000.0,1991
84418C154RUS,Ford,Focus,1,3000.0,2016
E53488152RUS,Ford,Focus,2,1800.0,2016
9697MO178RUS,Volkswagen,Golf,1,500.0,1990
Y7709C197RUS,Ford,Focus,1,1500.0,2015
90159H178RUS,Volkswagen,Passat,2,600.0,2011
C798ET50RUS,Ford,Focus,1,10000.0,1983
Y193O8161RUS,Ford,Focus,2,600.0,2008
7248C8197RUS,Ford,Mondeo,2,8600.0,1992
Y275O8197RUS,Ford,Focus,1,6000.0,1992
K357YE77RUS,Volkswagen,Golf,1,5000.0,2004
9697MO178RUS,Volkswagen,Golf,1,8594.5864661654,2010
E0697X152RUS,Skoda,Octavia,1,2000.0,1988
E40877152RUS,Ford,Focus,1,1000.0,1982
Y351O8197RUS,Ford,Focus,1,1500.0,2000
Y356O8197RUS,Ford,Focus,2,45900.0,2013
O6939X163RUS,Ford,Focus,1,7200.0,1994
Y7649C197RUS,Ford,Focus,2,5300.0,2003
9935TE152RUS,Ford,Focus,2,2500.0,1996
704687163RUS,Ford,Focus,2,1400.0,2016
7197TT36RUS,Ford,Focus,2,6800.0,1999
X765HY197RUS,Ford,Focus,2,41700.0,2007
H115YO163RUS,Ford,Focus,1,8594.5864661654,2013
O143HO197RUS,Toyota,Corolla,2,30300.0,1991
K436MO152RUS,Ford,Focus,1,1500.0,2017
9938OH154RUS,Skoda,Octavia,1,500.0,2004
E34877152RUS,Ford,Focus,2,6100.0,2018
E5878M777RUS,Skoda,Octavia,1,8500.0,1990
E33577152RUS,Ford,Focus,1,1000.0,2008
7844C8197RUS,Ford,Focus,2,34000.0,1995
X256HE161RUS,Ford,Focus,2,800.0,1980
C584EY154RUS,Ford,Focus,1,500.0,2003
E28977161RUS,Ford,Focus,2,1500.0,2015
T016OX197RUS,Toyota,Corolla,2,3200.0,1987
H889YK197RUS,Ford,Focus,2,10600.0,1992
7363C8197RUS,Ford,Focus,2,1600.0,2016
T6039O50RUS,Ford,Focus,2,1500.0,2007
7365C8197RUS,Ford,Focus,1,2300.0,1997
Y967O8197RUS,Ford,Focus,1,4000.0,2009
E816HE77RUS,Ford,Focus,1,3000.0,2000
T6329O50RUS,Ford,Focus,1,500.0,2017
X504X8197RUS,Skoda,Octavia,1,8594.5864661654,2004
M581CH197RUS,Ford,Focus,1,200.0,2002
X523OM161RUS,Ford,Focus,2,800.0,1987
C412X938RUS,Ford,Focus,1,1000.0,1999
7831C8197RUS,Ford,Focus,2,3400.0,2012
8164XX154RUS,Ford,Focus,2,4400.0,1982
H004MH197RUS,Ford,Focus,2,9900.0,2007
X015HY197RUS,Toyota,Corolla,2,24000.0,1981
T6419O50RUS,Ford,Focus,2,9000.0,2002
E822TH36RUS,Ford,Focus,2,12900.0,1998
8437XX154RUS,Ford,Focus,1,8594.5864661654,1987
E445TC197RUS,Ford,Focus,1,3400.0,1988
C515X938RUS,Ford,Focus,1,1900.0,2017
7172TT36RUS,Ford,Focus,2,5700.0,2018
8436XX154RUS,Ford,Focus,1,800.0,2013
E79988152RUS,Ford,Focus,1,500.0,1987
8180XX154RUS,Ford,Focus,1,2800.0,1994
84438C154RUS,Ford,Focus,2,3800.0,1993
T6309O50RUS,Ford,Focus,2,24000.0,1980
T6129O50RUS,Ford,Focus,2,6000.0,1993
K339T8197RUS,Ford,Focus,2,19200.0,1989
8685HE154RUS,Ford,Focus,1,2000.0,1996
X782CO96RUS,Ford,Focus,1,8594.5864661654,1993
E591HE77RUS,Ford,Focus,2,6000.0,2001
89587X197RUS,Toyota,Camry,1,4400.0,2015
9499KX178RUS,Ford,Focus,1,2300.0,2010
8818C877RUS,Volkswagen,Passat,1,5000.0,1991
Y357O8197RUS,Ford,Focus,1,2200.0,1997
Y652O8197RUS,Volkswagen,Touareg,1,5800.0,1980
X767HY197RUS,Ford,Focus,2,18000.0,2014
H220X836RUS,Ford,Focus,1,7000.0,2009
H218X836RUS,Ford,Focus,2,17500.0,1986
T913CT197RUS,Toyota,Camry,1,7900.0,2002
T6439O50RUS,Ford,Focus,2,16500.0,1993
7784KT197RUS,Ford,Focus,2,13200.0,1980
X286TC36RUS,Ford,Focus,2,8594.5864661654,1980
O752MX161RUS,Ford,Focus,1,1300.0,1994
Y7449Y50RUS,Ford,Focus,1,8000.0,2017
H115YO163RUS,Ford,Focus,2,1100.0,2018
8818C877RUS,Volkswagen,Passat,2,10000.0,2002
92828M178RUS,Ford,Focus,1,300.0,1987
Y650E8750RUS,Skoda,Octavia,1,500.0,1989
X767HY197RUS,Ford,Focus,2,36000.0,2011
9498KX178RUS,Ford,Focus,2,800.0,1984
83298C154RUS,Ford,Focus,1,100.0,2014
8321XX154RUS,Ford,Focus,1,100.0,2010
8316XX154RUS,Ford,Focus,1,2200.0,2006
T017OX197RUS,Toyota,Corolla,2,12700.0,1998
H977HY161RUS,Ford,Focus,1,8594.5864661654,2009
7788KT197RUS,Ford,Focus,2,8594.5864661654,1990
X522OM161RUS,Ford,Focus,1,1500.0,2000
O085E8197RUS,Volkswagen,Golf,1,300.0,1999
8166XX154RUS,Ford,Focus,1,600.0,1995
705387163RUS,Ford,Focus,2,700.0,1981
O017KO197RUS,Ford,Focus,1,800.0,2013
X4138H125RUS,Ford,Focus,1,300.0,2003
8441XX154RUS,Ford,Focus,1,500.0,1994
M0269X197RUS,Ford,Focus,2,8594.5864661654,1992
7781KT197RUS,Ford,Focus,1,1200.0,1998
T483CT96RUS,Ford,Focus,1,500.0,2001
T940CC96RUS,Ford,Focus,2,1500.0,2014
C58078163RUS,Ford,Focus,1,100.0,1994
O02397197RUS,Volkswagen,Jetta,1,4000.0,2017
T018OX197RUS,Toyota,Corolla,2,6800.0,2016
H963HY161RUS,Ford,Focus,1,1400.0,1982
8611T8154RUS,Ford,Focus,2,2000.0,1992
704787163RUS,Ford,Focus,2,2800.0,2011
E53488152RUS,Ford,Focus,2,3600.0,2008
Y7129Y50RUS,Ford,Focus,1,16000.0,1995
C313MM99RUS,Toyota,Camry,1,7500.0,1982
8611T8154RUS,Ford,Focus,1,1000.0,2013
X763HY197RUS,Ford,Focus,2,9500.0,2004
